onset,duration,pitch,phrase
0.0,1.0,F4,A:1
1.0,1.0,F4,A:1
2.0,1.0,B-4,A:1
3.0,1.0,A4,A:1
4.0,1.0,G4,A:1
5.0,1.0,F4,A:1
6.0,1.0,F4,A:1
7.0,1.0,E-4,A:1
8.0,1.0,D4,A:1
9.0,1.0,F4,A:1
10.0,1.0,B-4,A:1
11.0,1.0,D5,A:1
12.0,1.0,C5,A:1
13.0,1.0,B-4,A:1
14.0,2.0,A4,A:1
16.0,1.0,B-4,A:2
17.0,1.0,B4,A:2
18.0,1.0,D5,A:2
19.0,1.0,C5,A:2
20.0,1.0,G4,A:2
21.0,1.0,A4,A:2
22.0,1.0,C5,A:2
23.0,1.0,B-4,A:2
24.0,1.0,D4,A:2
25.0,1.0,F4,A:2
26.0,1.0,G4,A:2
27.0,1.0,B-4,A:2
28.0,1.0,B-4,A:2
29.0,1.0,C5,A:2
30.0,2.0,B-4,A:2
