onset,duration,pitch,phrase
0.0,1.0,C4,A:1
1.0,1.0,E4,A:1
2.0,1.0,G4,A:1
3.0,1.0,C4,A:1
4.0,1.0,F4,A:1
5.0,1.0,A4,A:1
6.0,1.0,A4,A:1
7.0,1.0,G4,A:1
8.0,0.5,E4,A:1
8.5,0.5,F4,A:1
9.0,0.5,G4,A:1
9.5,0.5,C4,A:1
10.0,1.0,F4,A:1
11.0,0.5,E4,A:1
11.5,0.5,F4,A:1
12.0,1.0,E4,A:1
13.0,1.0,D4,A:1
14.0,2.0,C4,A:1
16.0,1.0,F4,A:2
17.0,1.0,G4,A:2
18.0,1.0,A4,A:2
19.0,1.0,G4,A:2
20.0,1.0,F4,A:2
21.0,1.0,E4,A:2
22.0,1.0,E4,A:2
23.0,1.0,D4,A:2
24.0,0.5,E4,A:2
24.5,0.5,F4,A:2
25.0,0.5,G4,A:2
25.5,0.5,C4,A:2
26.0,1.0,F4,A:2
27.0,0.5,E4,A:2
27.5,0.5,F4,A:2
28.0,1.0,E4,A:2
29.0,1.0,D4,A:2
30.0,2.0,C4,A:2
32.0,1.0,B4,B:1
33.0,1.0,C5,B:1
34.0,1.0,D5,B:1
35.0,1.0,G4,B:1
36.0,1.0,C5,B:1
37.0,1.0,D5,B:1
38.0,2.0,E5,B:1
40.0,0.5,B4,B:1
40.5,0.5,C5,B:1
41.0,0.5,D5,B:1
41.5,0.5,G4,B:1
42.0,1.0,C5,B:1
43.0,0.5,B4,B:1
43.5,0.5,C5,B:1
44.0,1.0,B4,B:1
45.0,1.0,A4,B:1
46.0,2.0,G4,B:1
48.0,0.5,G4,C:1
48.5,0.5,A4,C:1
49.0,0.5,B4,C:1
49.5,0.5,G4,C:1
50.0,1.0,C5,C:1
51.0,1.0,E4,C:1
52.0,1.0,F4,C:1
53.0,1.0,A4,C:1
54.0,1.0,A4,C:1
55.0,1.0,G4,C:1
56.0,0.5,C5,C:1
56.5,0.5,B4,C:1
57.0,0.5,C5,C:1
57.5,0.5,G4,C:1
58.0,0.5,A4,C:1
58.5,0.5,B4,C:1
59.0,0.5,C5,C:1
59.5,0.5,D5,C:1
60.0,1.0,C5,C:1
61.0,1.0,B4,C:1
62.0,2.0,C5,C:1
