onset,duration,pitch,phrase
0.0,1.0,G4,A:1
1.0,1.0,C5,A:1
2.0,1.0,E4,A:1
3.0,1.0,F4,A:1
4.0,1.0,A4,A:1
5.0,2.0,G4,A:1
7.0,1.0,E4,A:1
8.0,0.5,E4,A:1
8.5,0.5,F4,A:1
9.0,1.0,G4,A:1
10.0,1.0,G4,A:1
11.0,1.0,A4,A:1
12.0,1.0,F4,A:1
13.0,3.0,G4,A:1
16.0,1.0,G4,A:2
17.0,1.0,C5,A:2
18.0,1.0,E4,A:2
19.0,1.0,F4,A:2
20.0,1.0,A4,A:2
21.0,2.0,G4,A:2
23.0,1.0,F#4,A:2
24.0,1.0,A4,A:2
25.0,1.0,B4,A:2
26.0,1.0,C5,A:2
27.0,1.0,B4,A:2
28.0,1.0,A4,A:2
29.0,3.0,G4,A:2
32.0,0.5,G4,B:1
32.5,0.5,F4,B:1
33.0,1.0,E4,B:1
34.0,1.0,E4,B:1
35.0,1.0,G4,B:1
36.0,1.0,E4,B:1
37.0,2.0,F4,B:1
39.0,1.0,F4,B:1
40.0,0.5,F4,B:1
40.5,0.5,E4,B:1
41.0,1.0,D4,B:1
42.0,1.0,D4,B:1
43.0,1.0,E4,B:1
44.0,1.0,F4,B:1
45.0,3.0,E4,B:1
48.0,0.5,E4,B:2
48.5,0.5,F4,B:2
49.0,1.0,G4,B:2
50.0,1.0,G4,B:2
51.0,1.0,E4,B:2
52.0,1.0,C5,B:2
53.0,2.0,D5,B:2
55.0,1.0,A4,B:2
56.0,1.0,A4,B:2
57.0,1.0,G4,B:2
58.0,1.0,C5,B:2
59.0,1.0,C5,B:2
60.0,1.0,B4,B:2
61.0,3.0,C5,B:2
