onset,duration,pitch,phrase
0.0,1.0,C4,A:1
1.0,2.0,C4,A:1
3.0,1.0,C4,A:1
4.0,2.0,D4,A:1
6.0,1.0,D4,A:1
7.0,1.0,F4,A:1
8.0,1.0,E4,A:1
9.0,1.0,D4,A:1
10.0,2.0,E4,A:1
12.0,1.0,E4,A:2
13.0,2.0,F4,A:2
15.0,1.0,F4,A:2
16.0,2.0,G4,A:2
18.0,1.0,G4,A:2
19.0,1.0,A4,A:2
20.0,1.0,G4,A:2
21.0,1.0,F4,A:2
22.0,2.0,G4,A:2
24.0,1.0,C5,B:1
25.0,1.0,C5,B:1
26.0,1.0,B4,B:1
27.0,1.0,A4,B:1
28.0,2.0,G4,B:1
30.0,1.0,G4,B:1
31.0,1.0,A4,B:1
32.0,1.0,B4,B:1
33.0,1.0,C5,B:1
34.0,3.0,D5,B:1
37.0,1.0,C5,B:2
38.0,1.0,B4,B:2
39.0,1.0,A4,B:2
40.0,1.0,A4,B:2
41.0,1.0,G4,B:2
42.0,1.0,E4,B:2
43.0,1.0,F4,B:2
44.0,1.0,E4,B:2
45.0,1.0,D4,B:2
46.0,2.0,C4,B:2
