onset,duration,pitch,phrase
0.0,2.0,G4,A:1
2.0,2.0,C5,A:1
4.0,2.0,E4,A:1
6.0,2.0,A4,A:1
8.0,2.0,G4,A:1
10.0,2.0,F4,A:1
12.0,1.0,E4,A:1
13.0,1.0,D4,A:1
14.0,2.0,E4,A:1
16.0,2.0,G4,A:1
18.0,2.0,C5,A:1
20.0,2.0,D5,A:1
22.0,2.0,B4,A:1
24.0,2.0,G4,A:1
26.0,2.0,A4,A:1
28.0,1.0,G4,A:1
29.0,1.0,F#4,A:1
30.0,2.0,G4,A:1
32.0,2.0,G4,B:1
34.0,2.0,D5,B:1
36.0,2.0,C5,B:1
38.0,2.0,B4,B:1
40.0,1.0,C5,B:1
41.0,1.0,D5,B:1
42.0,2.0,E5,B:1
44.0,2.0,D5,B:1
46.0,2.0,C5,B:1
48.0,2.0,C5,B:1
50.0,2.0,D5,B:1
52.0,2.0,B4,B:1
54.0,2.0,C5,B:1
56.0,1.0,E4,B:1
57.0,1.0,F4,B:1
58.0,2.0,E4,B:1
60.0,2.0,D4,B:1
62.0,2.0,C4,B:1
