onset,duration,pitch,phrase
0.0,1.0,A4,A:1
1.0,1.0,F#4,A:1
2.0,1.0,D4,A:1
3.0,1.5,C#4,A:1
4.5,0.5,D4,A:1
5.0,2.0,F#4,A:1
7.0,1.0,E4,A:1
8.0,1.0,D4,A:1
9.0,1.0,G4,A:1
10.0,1.0,F#4,A:1
11.0,1.5,B4,A:1
12.5,0.5,B4,A:1
13.0,3.0,A4,A:1
16.0,1.0,A4,B:1
17.0,1.0,D5,B:1
18.0,1.0,A4,B:1
19.0,1.5,G4,B:1
20.5,0.5,F#4,B:1
21.0,2.0,F#4,B:1
23.0,1.0,E4,B:1
24.0,1.0,B4,B:1
25.0,1.0,B4,B:1
26.0,1.0,E4,B:1
27.0,1.5,G4,B:1
28.5,0.5,C#4,B:1
29.0,3.0,D4,B:1
32.0,1.0,F#4,C:1
33.0,1.5,F#4,C:1
34.5,0.5,E4,C:1
35.0,1.0,E4,C:1
36.0,1.0,E4,C:1
37.0,2.0,G4,C:1
39.0,1.0,F#4,C:1
40.0,1.0,A4,C:1
41.0,1.0,A4,C:1
42.0,1.0,G#4,C:1
43.0,1.0,G#4,C:1
44.0,1.0,B4,C:1
45.0,3.0,A4,C:1
48.0,1.0,A4,B:2
49.0,1.0,D5,B:2
50.0,1.0,A4,B:2
51.0,1.5,G4,B:2
52.5,0.5,F#4,B:2
53.0,2.0,F#4,B:2
55.0,1.0,E4,B:2
56.0,1.0,B4,B:2
57.0,2.0,B4,B:2
59.0,2.0,E4,B:2
61.0,3.0,G4,B:2
64.0,1.0,C#4,B:2
65.0,3.0,D4,B:2
