onset,duration,pitch,phrase
0.0,1.0,C4,A:1
1.0,1.0,E4,A:1
2.0,1.5,F4,A:1
3.5,0.5,F4,A:1
4.0,0.5,F4,A:1
4.5,0.5,E4,A:1
5.0,0.5,F4,A:1
5.5,0.5,G4,A:1
6.0,1.0,G4,A:1
7.0,1.0,F4,A:1
8.0,1.0,F4,A:1
9.0,1.0,A4,A:1
10.0,1.5,C5,A:1
11.5,0.5,A4,A:1
12.0,0.5,A4,A:1
12.5,0.5,G4,A:1
13.0,0.5,F4,A:1
13.5,0.5,E4,A:1
14.0,2.0,F4,A:1
16.0,1.0,C4,A:2
17.0,1.0,E4,A:2
18.0,1.5,F4,A:2
19.5,0.5,F4,A:2
20.0,0.5,F4,A:2
20.5,0.5,E4,A:2
21.0,0.5,F4,A:2
21.5,0.5,G4,A:2
22.0,1.0,G4,A:2
23.0,1.0,F4,A:2
24.0,1.0,F4,A:2
25.0,1.0,A4,A:2
26.0,1.5,C5,A:2
27.5,0.5,A4,A:2
28.0,0.5,A4,A:2
28.5,0.5,G4,A:2
29.0,0.5,F4,A:2
29.5,0.5,E4,A:2
30.0,2.0,F4,A:2
32.0,1.0,D5,B:1
33.0,1.0,D5,B:1
34.0,1.5,C5,B:1
35.5,0.5,F4,B:1
36.0,1.0,B-4,B:1
37.0,1.0,B-4,B:1
38.0,1.0,A4,B:1
39.0,1.0,A4,B:1
40.0,1.0,D5,B:1
41.0,1.0,D5,B:1
42.0,1.5,C5,B:1
43.5,0.5,A4,B:1
44.0,0.5,A4,B:1
44.5,0.5,G4,B:1
45.0,0.5,F4,B:1
45.5,0.5,E4,B:1
46.0,1.0,F4,B:1
47.0,1.0,F4,B:1
