onset,duration,pitch,phrase
0.0,1.0,D4,A:1
1.0,1.0,F4,A:1
2.0,1.5,B-4,A:1
3.5,0.5,A4,A:1
4.0,1.0,A4,A:1
5.0,1.0,G4,A:1
6.0,2.0,F4,A:1
8.0,1.0,D4,A:2
9.0,1.0,F4,A:2
10.0,1.5,B-4,A:2
11.5,0.5,B-4,A:2
12.0,1.0,A4,A:2
13.0,1.0,G4,A:2
14.0,2.0,F4,A:2
16.0,1.0,A4,B:1
17.0,1.0,B-4,B:1
18.0,1.0,C5,B:1
19.0,1.0,F4,B:1
20.0,1.0,B-4,B:1
21.0,1.0,C5,B:1
22.0,2.0,D5,B:1
24.0,1.0,C5,C:1
25.0,1.0,D5,C:1
26.0,1.5,E-5,C:1
27.5,0.5,E-5,C:1
28.0,0.5,D5,C:1
28.5,0.5,C5,C:1
29.0,0.5,B-4,C:1
29.5,0.5,D5,C:1
30.0,2.0,C5,C:1
32.0,1.0,D4,A:2
33.0,1.0,F4,A:2
34.0,1.5,B-4,A:2
35.5,0.5,A4,A:2
36.0,1.0,A4,A:2
37.0,1.0,G4,A:2
38.0,2.0,F4,A:2
40.0,1.0,D4,D:1
41.0,1.0,F4,D:1
42.0,1.5,D5,D:1
43.5,0.5,B-4,D:1
44.0,1.0,C5,D:1
45.0,1.0,A4,D:1
46.0,2.0,B-4,D:1
