onset,duration,pitch,phrase
0.0,0.75,A4,A:1
0.75,0.25,G4,A:1
1.0,1.0,F4,A:1
2.0,1.0,C4,A:1
3.0,1.0,F4,A:1
4.0,0.75,G4,A:1
4.75,0.25,F4,A:1
5.0,1.0,E4,A:1
6.0,2.0,D4,A:1
8.0,0.75,F4,A:1
8.75,0.25,G4,A:1
9.0,1.0,A4,A:1
10.0,1.0,A4,A:1
11.0,1.0,C5,A:1
12.0,1.0,F4,A:1
13.0,3.0,G4,A:1
16.0,0.75,A4,A:2
16.75,0.25,G4,A:2
17.0,1.0,F4,A:2
18.0,1.0,C4,A:2
19.0,1.0,F4,A:2
20.0,0.75,G4,A:2
20.75,0.25,F4,A:2
21.0,1.0,E4,A:2
22.0,2.0,D4,A:2
24.0,0.75,G4,A:2
24.75,0.25,F4,A:2
25.0,1.0,E4,A:2
26.0,1.0,C5,A:2
27.0,0.5,B4,A:2
27.5,0.5,A4,A:2
28.0,0.5,F4,A:2
28.5,0.5,D4,A:2
29.0,3.0,C4,A:2
32.0,0.75,C5,B:1
32.75,0.25,B-4,B:1
33.0,1.0,A4,B:1
34.0,1.0,A4,B:1
35.0,1.0,F4,B:1
36.0,1.0,F4,B:1
37.0,2.0,D4,B:1
39.0,1.0,B-4,B:1
40.0,1.0,A4,B:1
41.0,1.5,G4,B:1
42.5,0.5,A4,B:1
43.0,0.5,G4,B:1
43.5,0.5,F4,B:1
44.0,0.5,E4,B:1
44.5,0.5,D4,B:1
45.0,3.0,C4,B:1
48.0,0.75,F4,C:1
48.75,0.25,G4,C:1
49.0,1.0,A4,C:1
50.0,1.0,A4,C:1
51.0,1.0,B-4,C:1
52.0,1.0,C5,C:1
53.0,2.0,D5,C:1
55.0,1.0,B-4,C:1
56.0,0.75,F4,C:1
56.75,0.25,G4,C:1
57.0,1.5,A4,C:1
58.5,0.5,G4,C:1
59.0,1.0,D4,C:1
60.0,1.0,E4,C:1
61.0,3.0,F4,C:1
