onset,duration,pitch,phrase
0.0,1.0,D4,A:1
1.0,1.0,G4,A:1
2.0,1.0,B4,A:1
3.0,1.0,D5,A:1
4.0,1.0,C5,A:1
5.0,1.5,B4,A:1
6.5,0.5,A4,A:1
7.0,1.0,G4,A:1
8.0,1.0,D4,A:1
9.0,1.5,G4,A:1
10.5,0.5,G4,A:1
11.0,1.0,A4,A:1
12.0,1.0,A4,A:1
13.0,3.0,B4,A:1
16.0,1.0,D4,B:1
17.0,1.0,G4,B:1
18.0,1.0,B4,B:1
19.0,1.0,D5,B:1
20.0,1.0,C5,B:1
21.0,1.5,B4,B:1
22.5,0.5,A4,B:1
23.0,1.0,G4,B:1
24.0,0.5,A4,B:1
24.5,0.5,B4,B:1
25.0,1.5,A4,B:1
26.5,0.5,D5,B:1
27.0,1.0,D5,B:1
28.0,1.0,C#5,B:1
29.0,3.0,D5,B:1
32.0,1.0,D4,C:1
33.0,1.5,A4,C:1
34.5,0.5,D4,C:1
35.0,1.0,B4,C:1
36.0,1.0,A4,C:1
37.0,1.0,A4,C:1
38.0,2.0,G4,C:1
40.0,1.0,D4,C:1
41.0,1.5,B4,C:1
42.5,0.5,B4,C:1
43.0,1.0,F#4,C:1
44.0,1.0,A4,C:1
45.0,3.0,G4,C:1
48.0,1.0,G4,D:1
49.0,1.5,E5,D:1
50.5,0.5,E5,D:1
51.0,1.0,D5,D:1
52.0,1.0,C5,D:1
53.0,1.0,D5,D:1
54.0,1.0,D5,D:1
55.0,1.0,G4,D:1
56.0,1.0,E4,D:1
57.0,1.0,C5,D:1
58.0,1.0,B4,D:1
59.0,1.5,A4,D:1
60.5,0.5,G4,D:1
61.0,3.0,G4,D:1
